name,age,country,year,Date_Given,sports,gold_medal,silver_medal,brone_medal,total_medal
Jake Varner,26.0,United States,2012,08-12-2012,Wrestling,1,0,0,1
Tonya Verbeek,34.0,Canada,2012,08-12-2012,Wrestling,0,1,0,1
Roman Vlasov,21.0,Russia,2012,08-12-2012,Wrestling,1,0,0,1
Lyubov Volosova,29.0,Russia,2012,08-12-2012,Wrestling,0,0,1,1
Nataliya Vorobyova,21.0,Russia,2012,08-12-2012,Wrestling,1,0,0,1
Yang KyongIl,23.0,North Korea,2012,08-12-2012,Wrestling,0,0,1,1
Tatsuhiro Yonemitsu,26.0,Japan,2012,08-12-2012,Wrestling,1,0,0,1
Saori Yoshida,29.0,Japan,2012,08-12-2012,Wrestling,1,0,0,1
Shinichi Yumoto,27.0,Japan,2012,08-12-2012,Wrestling,0,0,1,1
Stanka Zlateva,29.0,Bulgaria,2012,08-12-2012,Wrestling,0,1,0,1
Emin hmdov,25.0,Azerbaijan,2012,08-12-2012,Wrestling,0,0,1,1
Togrul sgrov,19.0,Azerbaijan,2012,08-12-2012,Wrestling,1,0,0,1
Yusuf Abdusalomov,30.0,Tajikistan,2008,8/24/2008,Wrestling,0,1,0,1
Bakhtiyar Akhmedov,21.0,Russia,2008,8/24/2008,Wrestling,0,1,0,1
IslamBeka Albiyev,19.0,Russia,2008,8/24/2008,Wrestling,1,0,0,1
Roman Amoyan,24.0,Armenia,2008,8/24/2008,Wrestling,0,0,1,1
Nazmi Avluca,31.0,Turkey,2008,8/24/2008,Wrestling,0,0,1,1
Khasan Baroyev,25.0,Russia,2008,8/24/2008,Wrestling,0,1,0,1
Mavlet Batyrov,24.0,Russia,2008,8/24/2008,Wrestling,1,0,0,1
Rvsn Bayramov,21.0,Azerbaijan,2008,8/24/2008,Wrestling,0,1,0,1
Kanat Begaliyev,24.0,Kyrgyzstan,2008,8/24/2008,Wrestling,0,1,0,1
Henry Cejudo,21.0,United States,2008,8/24/2008,Wrestling,1,0,0,1
Chang Yongxiang,24.0,China,2008,8/24/2008,Wrestling,0,1,0,1
Taras Danko,28.0,Ukraine,2008,8/24/2008,Wrestling,0,0,1,1
Mirko Englich,29.0,Germany,2008,8/24/2008,Wrestling,0,1,0,1
Vasyl Fedoryshyn,27.0,Ukraine,2008,8/24/2008,Wrestling,0,1,0,1
Zoltn Fodor,23.0,Hungary,2008,8/24/2008,Wrestling,0,1,0,1
Murad Gaydarov,28.0,Belarus,2008,8/24/2008,Wrestling,0,0,1,1
Giorgi Gogshelidze,28.0,Georgia,2008,8/24/2008,Wrestling,0,0,1,1
Christophe Gunot,29.0,France,2008,8/24/2008,Wrestling,0,0,1,1
Steeve Gunot,22.0,France,2008,8/24/2008,Wrestling,1,0,0,1
Kyoko Hamaguchi,30.0,Japan,2008,8/24/2008,Wrestling,0,0,1,1
Carol Huynh,27.0,Canada,2008,8/24/2008,Wrestling,1,0,0,1
Chiharu Icho,26.0,Japan,2008,8/24/2008,Wrestling,0,1,0,1
Kaori Icho,24.0,Japan,2008,8/24/2008,Wrestling,1,0,0,1
Manuchar Kvirkelia,29.0,Georgia,2008,8/24/2008,Wrestling,1,0,0,1
Alyona Kartashova,26.0,Russia,2008,8/24/2008,Wrestling,0,1,0,1
Georgy Ketoyev,22.0,Russia,2008,8/24/2008,Wrestling,0,0,1,1
Aslanbek Khushtov,28.0,Russia,2008,8/24/2008,Wrestling,1,0,0,1
Besik Kudukhov,22.0,Russia,2008,8/24/2008,Wrestling,0,0,1,1
Sushil Kumar,25.0,India,2008,8/24/2008,Wrestling,0,0,1,1
Mijan Lpez,25.0,Cuba,2008,8/24/2008,Wrestling,1,0,0,1
Aset Mambetov,26.0,Kazakhstan,2008,8/24/2008,Wrestling,0,0,1,1
Nazyr Mankiyev,23.0,Russia,2008,8/24/2008,Wrestling,1,0,0,1
Tomohiro Matsunaga,28.0,Japan,2008,8/24/2008,Wrestling,0,1,0,1
Iryna MerleniMykulchyn,26.0,Ukraine,2008,8/24/2008,Wrestling,0,0,1,1
Randi Miller,24.0,United States,2008,8/24/2008,Wrestling,0,0,1,1
Revaz Mindorashvili,32.0,Georgia,2008,8/24/2008,Wrestling,1,0,0,1
Andrea Minguzzi,26.0,Italy,2008,8/24/2008,Wrestling,1,0,0,1
Mindaugas Mizgaitis,28.0,Lithuania,2008,8/24/2008,Wrestling,0,0,1,1
Seyed Mohammadi,28.0,Iran,2008,8/24/2008,Wrestling,0,0,1,1
Sharvani Muradov,23.0,Russia,2008,8/24/2008,Wrestling,1,0,0,1
David Musulbes,36.0,Slovakia,2008,8/24/2008,Wrestling,0,0,1,1
Marid Mutalimov,28.0,Kazakhstan,2008,8/24/2008,Wrestling,0,0,1,1
Park EunChul,27.0,South Korea,2008,8/24/2008,Wrestling,0,0,1,1
Yury Patrikeyev,28.0,Armenia,2008,8/24/2008,Wrestling,0,0,1,1
Xetaq Qazyumov,25.0,Azerbaijan,2008,8/24/2008,Wrestling,0,0,1,1
Jackeline Rentera,22.0,Colombia,2008,8/24/2008,Wrestling,0,0,1,1
Vitaliy Rhimov,23.0,Azerbaijan,2008,8/24/2008,Wrestling,0,1,0,1
Ramazan Sahin,25.0,Turkey,2008,8/24/2008,Wrestling,1,0,0,1
Buvaisa Saytiyev,33.0,Russia,2008,8/24/2008,Wrestling,1,0,0,1
Mikhail Semyonov,24.0,Belarus,2008,8/24/2008,Wrestling,0,0,1,1
Yelena Shalygina,21.0,Kazakhstan,2008,8/24/2008,Wrestling,0,0,1,1
Andriy Stadnik,26.0,Ukraine,2008,8/24/2008,Wrestling,0,1,0,1
Mariya Stadnik,20.0,Azerbaijan,2008,8/24/2008,Wrestling,0,0,1,1
Artur Taymazov,29.0,Uzbekistan,2008,8/24/2008,Wrestling,1,0,0,1
Nurbakyt Tengizbayev,25.0,Kazakhstan,2008,8/24/2008,Wrestling,0,0,1,1
Kiril Terziev,24.0,Bulgaria,2008,8/24/2008,Wrestling,0,0,1,1
Soslan Tigiyev,24.0,Uzbekistan,2008,8/24/2008,Wrestling,0,1,0,1
Taymuraz Tigiyev,26.0,Kazakhstan,2008,8/24/2008,Wrestling,0,1,0,1
Otar Tushishvili,30.0,Georgia,2008,8/24/2008,Wrestling,0,0,1,1
Ruslan Tyumenbayev,22.0,Kyrgyzstan,2008,8/24/2008,Wrestling,0,0,1,1
Armen Vardanian,25.0,Ukraine,2008,8/24/2008,Wrestling,0,0,1,1
Radoslav Velikov,24.0,Bulgaria,2008,8/24/2008,Wrestling,0,0,1,1
Tonya Verbeek,31.0,Canada,2008,8/24/2008,Wrestling,0,0,1,1
Wang Jiao,20.0,China,2008,8/24/2008,Wrestling,1,0,0,1
Adam Wheeler,27.0,United States,2008,8/24/2008,Wrestling,0,0,1,1
Agnieszka Wieszczek,25.0,Poland,2008,8/24/2008,Wrestling,0,0,1,1
Xu Li,18.0,China,2008,8/24/2008,Wrestling,0,1,0,1
Yavor Yanakiev,23.0,Bulgaria,2008,8/24/2008,Wrestling,0,0,1,1
Saori Yoshida,25.0,Japan,2008,8/24/2008,Wrestling,1,0,0,1
Kenichi Yumoto,23.0,Japan,2008,8/24/2008,Wrestling,0,0,1,1
Stanka Zlateva,25.0,Bulgaria,2008,8/24/2008,Wrestling,0,1,0,1
Stephen Abas,26.0,United States,2004,8/29/2004,Wrestling,0,1,0,1
Ara Abrahamian,29.0,Sweden,2004,8/29/2004,Wrestling,0,1,0,1
Khasan Baroyev,21.0,Russia,2004,8/29/2004,Wrestling,1,0,0,1
Mavlet Batyrov,20.0,Russia,2004,8/29/2004,Wrestling,1,0,0,1
Aleksandr Dokturishivili,24.0,Uzbekistan,2004,8/29/2004,Wrestling,1,0,0,1
Seref Eroglu,28.0,Turkey,2004,8/29/2004,Wrestling,0,1,0,1
Ivn Fundora,28.0,Cuba,2004,8/29/2004,Wrestling,0,0,1,1
Karam Gaber,24.0,Egypt,2004,8/29/2004,Wrestling,1,0,0,1
Rulon Gardner,33.0,United States,2004,8/29/2004,Wrestling,0,0,1,1
Khadzhimurat Gatsalov,21.0,Russia,2004,8/29/2004,Wrestling,1,0,0,1
Lise GolliotLegrand,27.0,France,2004,8/29/2004,Wrestling,0,0,1,1
Anna Gomis,30.0,France,2004,8/29/2004,Wrestling,0,0,1,1
Kyoko Hamaguchi,26.0,Japan,2004,8/29/2004,Wrestling,0,0,1,1
Ali Reza Heidari,28.0,Iran,2004,8/29/2004,Wrestling,0,0,1,1
Magamed Ibragimov,21.0,Uzbekistan,2004,8/29/2004,Wrestling,0,1,0,1
Chiharu Icho,22.0,Japan,2004,8/29/2004,Wrestling,0,1,0,1
Kaori Icho,20.0,Japan,2004,8/29/2004,Wrestling,1,0,0,1
Kenji Inoue,27.0,Japan,2004,8/29/2004,Wrestling,0,0,1,1
Jeong JiHyeon,21.0,South Korea,2004,8/29/2004,Wrestling,1,0,0,1
Jamill Kelly,26.0,United States,2004,8/29/2004,Wrestling,0,1,0,1
Atryom Kyuregyan,27.0,Greece,2004,8/29/2004,Wrestling,0,0,1,1
Gennady Laliyev,25.0,Kazakhstan,2004,8/29/2004,Wrestling,0,1,0,1
Istvn Majoros,30.0,Hungary,2004,8/29/2004,Wrestling,1,0,0,1
Vyacheslav Makarenko,28.0,Belarus,2004,8/29/2004,Wrestling,0,0,1,1
Gaydar Mamedaliyev,30.0,Russia,2004,8/29/2004,Wrestling,0,1,0,1
Mkhitar Manukyan,31.0,Kazakhstan,2004,8/29/2004,Wrestling,0,0,1,1
Gyuzel Manyurova,26.0,Russia,2004,8/29/2004,Wrestling,0,1,0,1
Sara McMann,23.0,United States,2004,8/29/2004,Wrestling,0,1,0,1
Iryna MerleniMykulchyn,22.0,Ukraine,2004,8/29/2004,Wrestling,1,0,0,1
Patricia Miranda,25.0,United States,2004,8/29/2004,Wrestling,0,0,1,1
Aleksey Mishin,25.0,Russia,2004,8/29/2004,Wrestling,1,0,0,1
Roberto Monzn,26.0,Cuba,2004,8/29/2004,Wrestling,0,1,0,1
Masoud Moustafa Gokar,26.0,Iran,2004,8/29/2004,Wrestling,0,1,0,1
Mun UiJe,29.0,South Korea,2004,8/29/2004,Wrestling,0,1,0,1
Makhach Murtazaliyev,20.0,Russia,2004,8/29/2004,Wrestling,0,0,1,1
Frid Mnsurov,22.0,Azerbaijan,2004,8/29/2004,Wrestling,1,0,0,1
Armen Nazaryan,30.0,Bulgaria,2004,8/29/2004,Wrestling,0,0,1,1
Ramaz Nozadze,20.0,Georgia,2004,8/29/2004,Wrestling,0,1,0,1
Mehmet zal,30.0,Turkey,2004,8/29/2004,Wrestling,0,0,1,1
Aydin Polati,27.0,Turkey,2004,8/29/2004,Wrestling,0,0,1,1
Yandro Quintana,24.0,Cuba,2004,8/29/2004,Wrestling,1,0,0,1
Ali Reza Rezaei,28.0,Iran,2004,8/29/2004,Wrestling,0,1,0,1
Varteres Samurgashev,24.0,Russia,2004,8/29/2004,Wrestling,0,0,1,1
Cael Sanderson,25.0,United States,2004,8/29/2004,Wrestling,1,0,0,1
Buvaisa Saytiyev,29.0,Russia,2004,8/29/2004,Wrestling,1,0,0,1
Sazhid Sazhidov,24.0,Russia,2004,8/29/2004,Wrestling,0,0,1,1
Chikara Tanabe,29.0,Japan,2004,8/29/2004,Wrestling,0,0,1,1
Artur Taymazov,25.0,Uzbekistan,2004,8/29/2004,Wrestling,1,0,0,1
Elbrus Tedieiev,29.0,Ukraine,2004,8/29/2004,Wrestling,1,0,0,1
Georgy Tsurtsumia,23.0,Kazakhstan,2004,8/29/2004,Wrestling,0,1,0,1
Tonya Verbeek,27.0,Canada,2004,8/29/2004,Wrestling,0,1,0,1
Wang Xu,18.0,China,2004,8/29/2004,Wrestling,1,0,0,1
Marko YliHannuksela,30.0,Finland,2004,8/29/2004,Wrestling,0,1,0,1
Saori Yoshida,21.0,Japan,2004,8/29/2004,Wrestling,1,0,0,1
Namiq Abdullayev,29.0,Azerbaijan,2000,10-01-2000,Wrestling,1,0,0,1
Filiberto Azcuy,27.0,Cuba,2000,10-01-2000,Wrestling,1,0,0,1
Sndor Istvn Brdosi,23.0,Hungary,2000,10-01-2000,Wrestling,0,1,0,1
Serafim Barzakov,25.0,Bulgaria,2000,10-01-2000,Wrestling,0,1,0,1
Islam Bayramukov,29.0,Kazakhstan,2000,10-01-2000,Wrestling,0,1,0,1
Adem Bereket,27.0,Turkey,2000,10-01-2000,Wrestling,0,0,1,1
Terry Brands,32.0,United States,2000,10-01-2000,Wrestling,0,0,1,1
Yevhen Buslovych,28.0,Ukraine,2000,10-01-2000,Wrestling,0,1,0,1
Akaki Chachua,31.0,Georgia,2000,10-01-2000,Wrestling,0,0,1,1
Ali Reza Dabir,23.0,Iran,2000,10-01-2000,Wrestling,1,0,0,1
Dmitry Debelka,24.0,Belarus,2000,10-01-2000,Wrestling,0,0,1,1
Rulon Gardner,29.0,United States,2000,10-01-2000,Wrestling,1,0,0,1
Arsen Gitinov,23.0,Russia,2000,10-01-2000,Wrestling,0,1,0,1
Aleksey Glushkov,25.0,Russia,2000,10-01-2000,Wrestling,0,0,1,1
Sammie Henson,29.0,United States,2000,10-01-2000,Wrestling,0,1,0,1
Mogamed Ibragimov,26.0,Macedonia,2000,10-01-2000,Wrestling,0,0,1,1
Daniel Igali,26.0,Canada,2000,10-01-2000,Wrestling,1,0,0,1
Jang JaeSeong,25.0,South Korea,2000,10-01-2000,Wrestling,0,0,1,1
Eldar Kurtanidze,28.0,Georgia,2000,10-01-2000,Wrestling,0,0,1,1
Kang YongGyun,26.0,North Korea,2000,10-01-2000,Wrestling,0,0,1,1
Amiran Kardanov,24.0,Greece,2000,10-01-2000,Wrestling,0,0,1,1
Murat Kardanov,29.0,Russia,2000,10-01-2000,Wrestling,1,0,0,1
Aleksandr Karelin,33.0,Russia,2000,10-01-2000,Wrestling,0,1,0,1
Kim InSeop,27.0,South Korea,2000,10-01-2000,Wrestling,0,1,0,1
Matt Lindland,30.0,United States,2000,10-01-2000,Wrestling,0,1,0,1
Mikael Ljungberg,30.0,Sweden,2000,10-01-2000,Wrestling,1,0,0,1
Garrett Lowney,20.0,United States,2000,10-01-2000,Wrestling,0,0,1,1
Juan Luis Marn,29.0,Cuba,2000,10-01-2000,Wrestling,0,1,0,1
Lincoln McIlravy,26.0,United States,2000,10-01-2000,Wrestling,0,0,1,1
Mun UiJe,25.0,South Korea,2000,10-01-2000,Wrestling,0,1,0,1
Sagid Murtazaliyev,26.0,Russia,2000,10-01-2000,Wrestling,1,0,0,1
David Musulbes,28.0,Russia,2000,10-01-2000,Wrestling,1,0,0,1
Katsuhiko Nagata,26.0,Japan,2000,10-01-2000,Wrestling,0,1,0,1
Armen Nazaryan,26.0,Bulgaria,2000,10-01-2000,Wrestling,1,0,0,1
Lzaro Rivas,25.0,Cuba,2000,10-01-2000,Wrestling,0,1,0,1
Alexis Rodrguez,22.0,Cuba,2000,10-01-2000,Wrestling,0,0,1,1
Yoel Romero,23.0,Cuba,2000,10-01-2000,Wrestling,0,1,0,1
David Saldadze,22.0,Ukraine,2000,10-01-2000,Wrestling,0,1,0,1
Varteres Samurgashev,21.0,Russia,2000,10-01-2000,Wrestling,1,0,0,1
Adam Saytiyev,22.0,Russia,2000,10-01-2000,Wrestling,1,0,0,1
Sheng Zetian,27.0,China,2000,10-01-2000,Wrestling,0,0,1,1
Sim GwonHo,27.0,South Korea,2000,10-01-2000,Wrestling,1,0,0,1
Brandon Slay,24.0,United States,2000,10-01-2000,Wrestling,1,0,0,1
Artur Taymazov,21.0,Uzbekistan,2000,10-01-2000,Wrestling,0,1,0,1
Murad Umakhanov,23.0,Russia,2000,10-01-2000,Wrestling,1,0,0,1
Mukhran Vakhtangadze,27.0,Georgia,2000,10-01-2000,Wrestling,0,0,1,1
Hamza Yerlikaya,24.0,Turkey,2000,10-01-2000,Wrestling,1,0,0,1
Marko YliHannuksela,26.0,Finland,2000,10-01-2000,Wrestling,0,0,1,1
Ruslan Albegov,24.0,Russia,2012,08-12-2012,Weightlifting,0,0,1,1
Sajjad Anoushiravani,28.0,Iran,2012,08-12-2012,Weightlifting,0,1,0,1
Apti Aukhadov,19.0,Russia,2012,08-12-2012,Weightlifting,0,1,0,1
Bartlomiej Bonk,27.0,Poland,2012,08-12-2012,Weightlifting,0,0,1,1
Ivn Cambar,28.0,Cuba,2012,08-12-2012,Weightlifting,0,0,1,1
Zulfiya Chinshanlo,19.0,Kazakhstan,2012,08-12-2012,Weightlifting,1,0,0,1
Anatolii Crcu,23.0,Moldova,2012,08-12-2012,Weightlifting,0,0,1,1
Roxana Cocos,23.0,Romania,2012,08-12-2012,Weightlifting,0,1,0,1
Oscar Figueroa,29.0,Colombia,2012,08-12-2012,Weightlifting,0,1,0,1
Christine Girard,27.0,Canada,2012,08-12-2012,Weightlifting,0,0,1,1
Hsu ShuChing,21.0,Chinese Taipei,2012,08-12-2012,Weightlifting,0,1,0,1
Ilya Ilyin,24.0,Kazakhstan,2012,08-12-2012,Weightlifting,1,0,0,1
Cristina Iovu,19.0,Moldova,2012,08-12-2012,Weightlifting,0,0,1,1
Eko Irawan,23.0,Indonesia,2012,08-12-2012,Weightlifting,0,0,1,1
Aleksandr Ivanov,23.0,Russia,2012,08-12-2012,Weightlifting,0,1,0,1
Yuliya Kalina,23.0,Ukraine,2012,08-12-2012,Weightlifting,0,0,1,1
Tatyana Kashirina,21.0,Russia,2012,08-12-2012,Weightlifting,0,1,0,1
Hripsime Khurshudyan,25.0,Armenia,2012,08-12-2012,Weightlifting,0,0,1,1
Kim UnGuk,23.0,North Korea,2012,08-12-2012,Weightlifting,1,0,0,1
Irina Kulesha,26.0,Belarus,2012,08-12-2012,Weightlifting,0,0,1,1
Li Xueying,22.0,China,2012,08-12-2012,Weightlifting,1,0,0,1
Lin Qingfeng,23.0,China,2012,08-12-2012,Weightlifting,1,0,0,1
Lu Haojie,21.0,China,2012,08-12-2012,Weightlifting,0,1,0,1
Lu Xiaojun,28.0,China,2012,08-12-2012,Weightlifting,1,0,0,1
Maiya Maneza,26.0,Kazakhstan,2012,08-12-2012,Weightlifting,1,0,0,1
Razvan Martin,20.0,Romania,2012,08-12-2012,Weightlifting,0,0,1,1
Hiromi Miyake,26.0,Japan,2012,08-12-2012,Weightlifting,0,1,0,1
Navab Nasirshelal,23.0,Iran,2012,08-12-2012,Weightlifting,0,1,0,1
Om YunChol,20.0,North Korea,2012,08-12-2012,Weightlifting,1,0,0,1
Svetlana Podobedova,26.0,Kazakhstan,2012,08-12-2012,Weightlifting,1,0,0,1
Rim JongSim,19.0,North Korea,2012,08-12-2012,Weightlifting,1,0,0,1
Kianoush Rostami,21.0,Iran,2012,08-12-2012,Weightlifting,0,0,1,1
Ryang ChunHwa,21.0,North Korea,2012,08-12-2012,Weightlifting,0,0,1,1
Behdad Salimi,22.0,Iran,2012,08-12-2012,Weightlifting,1,0,0,1
Marina Shkermankova,22.0,Belarus,2012,08-12-2012,Weightlifting,0,0,1,1
Pimsiri Sirikaew,22.0,Thailand,2012,08-12-2012,Weightlifting,0,1,0,1
Oleksiy Torokhtiy,26.0,Ukraine,2012,08-12-2012,Weightlifting,1,0,0,1
Triyatno,24.0,Indonesia,2012,08-12-2012,Weightlifting,0,1,0,1
Svetlana Tsarukayeva,24.0,Russia,2012,08-12-2012,Weightlifting,0,1,0,1
Wang Mingjuan,26.0,China,2012,08-12-2012,Weightlifting,1,0,0,1
Wu Jingbiao,23.0,China,2012,08-12-2012,Weightlifting,0,1,0,1
Valentin Xristov,18.0,Azerbaijan,2012,08-12-2012,Weightlifting,0,0,1,1
Nataliya Zabolotnaya,26.0,Russia,2012,08-12-2012,Weightlifting,0,1,0,1
Zhou Lulu,24.0,China,2012,08-12-2012,Weightlifting,1,0,0,1
Adrian Zielinski,23.0,Poland,2012,08-12-2012,Weightlifting,1,0,0,1
Khadzhimurat Akkayev,23.0,Russia,2008,8/24/2008,Weightlifting,0,0,1,1
Andrey Aryamnov,20.0,Belarus,2008,8/24/2008,Weightlifting,1,0,0,1
Cao Lei,24.0,China,2008,8/24/2008,Weightlifting,1,0,0,1
Chen WeiLing,26.0,Chinese Taipei,2008,8/24/2008,Weightlifting,0,0,1,1
Chen Xiexia,25.0,China,2008,8/24/2008,Weightlifting,1,0,0,1
Chen Yanqing,29.0,China,2008,8/24/2008,Weightlifting,1,0,0,1
Yevgeny Chigishev,29.0,Russia,2008,8/24/2008,Weightlifting,0,1,0,1
Vencelas Dabaya,27.0,France,2008,8/24/2008,Weightlifting,0,1,0,1
Gevorg Davtyan,25.0,Armenia,2008,8/24/2008,Weightlifting,0,0,1,1
Nataliya Davydova,23.0,Ukraine,2008,8/24/2008,Weightlifting,0,0,1,1
Mariya Grabovetskaya,21.0,Kazakhstan,2008,8/24/2008,Weightlifting,0,0,1,1
Hong Anh Tun,23.0,Vietnam,2008,8/24/2008,Weightlifting,0,1,0,1
Ilya Ilyin,20.0,Kazakhstan,2008,8/24/2008,Weightlifting,1,0,0,1
Eko Irawan,19.0,Indonesia,2008,8/24/2008,Weightlifting,0,0,1,1
Jang MiRan,24.0,South Korea,2008,8/24/2008,Weightlifting,1,0,0,1
Prapawadee Jaroenrattanatarakoon,24.0,Thailand,2008,8/24/2008,Weightlifting,1,0,0,1
Dmitry Klokov,25.0,Russia,2008,8/24/2008,Weightlifting,0,1,0,1
Olha Korobka,22.0,Ukraine,2008,8/24/2008,Weightlifting,0,1,0,1
Szymon Kolecki,26.0,Poland,2008,8/24/2008,Weightlifting,0,1,0,1
Dmitry Lapikov,26.0,Russia,2008,8/24/2008,Weightlifting,0,0,1,1
Li Hongli,27.0,China,2008,8/24/2008,Weightlifting,0,1,0,1
Liao Hui,20.0,China,2008,8/24/2008,Weightlifting,1,0,0,1
Liu Chunhong,25.0,China,2008,8/24/2008,Weightlifting,1,0,0,1
Long Qingquan,17.0,China,2008,8/24/2008,Weightlifting,1,0,0,1
Lu YingChi,23.0,Chinese Taipei,2008,8/24/2008,Weightlifting,0,0,1,1
Lu Yong,22.0,China,2008,8/24/2008,Weightlifting,1,0,0,1
Tigran G Martirosyan,20.0,Armenia,2008,8/24/2008,Weightlifting,0,0,1,1
Tigran V Martirosyan,25.0,Armenia,2008,8/24/2008,Weightlifting,0,0,1,1
Irina Nekrasova,20.0,Kazakhstan,2008,8/24/2008,Weightlifting,0,1,0,1
Anastasiya Novikova,26.0,Belarus,2008,8/24/2008,Weightlifting,0,0,1,1
O JongAe,24.0,North Korea,2008,8/24/2008,Weightlifting,0,0,1,1
Sibel zkan,20.0,Turkey,2008,8/24/2008,Weightlifting,0,1,0,1
Pak HyonSuk,23.0,North Korea,2008,8/24/2008,Weightlifting,1,0,0,1
Andrey Rybakov,26.0,Belarus,2008,8/24/2008,Weightlifting,0,1,0,1
Sa JaeHyeok,23.0,South Korea,2008,8/24/2008,Weightlifting,1,0,0,1
Diego Fernando Salazar,27.0,Colombia,2008,8/24/2008,Weightlifting,0,1,0,1
Viktors cerbatihs,33.0,Latvia,2008,8/24/2008,Weightlifting,0,0,1,1
Marina Shainova,22.0,Russia,2008,8/24/2008,Weightlifting,0,1,0,1
Oksana Slivenko,21.0,Russia,2008,8/24/2008,Weightlifting,0,1,0,1
Matthias Steiner,25.0,Germany,2008,8/24/2008,Weightlifting,1,0,0,1
Triyatno,20.0,Indonesia,2008,8/24/2008,Weightlifting,0,0,1,1
Alla Vazhenina,25.0,Kazakhstan,2008,8/24/2008,Weightlifting,0,1,0,1
Nadezhda Yevstyukhina,20.0,Russia,2008,8/24/2008,Weightlifting,0,0,1,1
Yoon JinHee,22.0,South Korea,2008,8/24/2008,Weightlifting,0,1,0,1
Zhang Xiangxiang,25.0,China,2008,8/24/2008,Weightlifting,1,0,0,1
Khadzhimurat Akkayev,19.0,Russia,2004,8/29/2004,Weightlifting,0,1,0,1
Sedat Artu,28.0,Turkey,2004,8/29/2004,Weightlifting,0,0,1,1
Giorgi Asanidze,28.0,Georgia,2004,8/29/2004,Weightlifting,1,0,0,1
Anna Batyushko,22.0,Belarus,2004,8/29/2004,Weightlifting,0,1,0,1
Dmitry Berestov,24.0,Russia,2004,8/29/2004,Weightlifting,1,0,0,1
Chen Yanqing,25.0,China,2004,8/29/2004,Weightlifting,1,0,0,1
Veliko olakov,22.0,Bulgaria,2004,8/29/2004,Weightlifting,0,0,1,1
Pyrros Dimas,32.0,Greece,2004,8/29/2004,Weightlifting,0,0,1,1
Milen Dobrev,24.0,Bulgaria,2004,8/29/2004,Weightlifting,1,0,0,1
Sergey Filimonov,29.0,Kazakhstan,2004,8/29/2004,Weightlifting,0,1,0,1
Jang MiRan,20.0,South Korea,2004,8/29/2004,Weightlifting,0,1,0,1
Wandee Kameaim,26.0,Thailand,2004,8/29/2004,Weightlifting,0,0,1,1
Zarema Kasayeva,17.0,Russia,2004,8/29/2004,Weightlifting,0,0,1,1
Eszter Krutzler,23.0,Hungary,2004,8/29/2004,Weightlifting,0,1,0,1
Le Maosheng,26.0,China,2004,8/29/2004,Weightlifting,0,1,0,1
Lee BaeYeong,24.0,South Korea,2004,8/29/2004,Weightlifting,0,1,0,1
Li Zhuo,22.0,China,2004,8/29/2004,Weightlifting,0,1,0,1
Liu Chunhong,21.0,China,2004,8/29/2004,Weightlifting,1,0,0,1
Mabel Mosquera,35.0,Colombia,2004,8/29/2004,Weightlifting,0,0,1,1
Halil Mutlu,31.0,Turkey,2004,8/29/2004,Weightlifting,1,0,0,1
Oleg Perepechonov,28.0,Russia,2004,8/29/2004,Weightlifting,0,0,1,1
Nikolay Peshalov,34.0,Croatia,2004,8/29/2004,Weightlifting,0,0,1,1
Gleb Pisarevsky,28.0,Russia,2004,8/29/2004,Weightlifting,0,0,1,1
Udomporn Polsak,22.0,Thailand,2004,8/29/2004,Weightlifting,1,0,0,1
Valentina Popova,31.0,Russia,2004,8/29/2004,Weightlifting,0,0,1,1
Ihor Razoronov,34.0,Ukraine,2004,8/29/2004,Weightlifting,0,1,0,1
Hossein Reza Zadeh,26.0,Iran,2004,8/29/2004,Weightlifting,1,0,0,1
Ri SongHui,25.0,North Korea,2004,8/29/2004,Weightlifting,0,1,0,1
Israel Jos Rubio,23.0,Venezuela,2004,8/29/2004,Weightlifting,0,0,1,1
Raema Lisa Rumbewas,23.0,Indonesia,2004,8/29/2004,Weightlifting,0,1,0,1
Andrey Rybakov,22.0,Belarus,2004,8/29/2004,Weightlifting,0,1,0,1
Taner Sagir,19.0,Turkey,2004,8/29/2004,Weightlifting,1,0,0,1
Viktors cerbatihs,29.0,Latvia,2004,8/29/2004,Weightlifting,0,1,0,1
Shi Zhiyong,24.0,China,2004,8/29/2004,Weightlifting,1,0,0,1
Nataliya Skakun,23.0,Ukraine,2004,8/29/2004,Weightlifting,1,0,0,1
Tatyana Stukalova,28.0,Belarus,2004,8/29/2004,Weightlifting,0,0,1,1
Tang Gonghong,25.0,China,2004,8/29/2004,Weightlifting,1,0,0,1
Nurcan Taylan,20.0,Turkey,2004,8/29/2004,Weightlifting,1,0,0,1
Pawina Thongsuk,25.0,Thailand,2004,8/29/2004,Weightlifting,1,0,0,1
Eduard Tyukin,26.0,Russia,2004,8/29/2004,Weightlifting,0,0,1,1
Aree Wiratthaworn,24.0,Thailand,2004,8/29/2004,Weightlifting,0,0,1,1
Agata Wrbel,22.0,Poland,2004,8/29/2004,Weightlifting,0,0,1,1
Wu Meijin,24.0,China,2004,8/29/2004,Weightlifting,0,1,0,1
Nataliya Zabolotnaya,19.0,Russia,2004,8/29/2004,Weightlifting,0,1,0,1
Zhang Guozheng,29.0,China,2004,8/29/2004,Weightlifting,1,0,0,1
Giorgi Asanidze,25.0,Georgia,2000,10-01-2000,Weightlifting,0,0,1,1
